item
מצע בטון רזה בעוביים שונים מתחת לאלמנטים שונים
"יסוד רפסודה מבטון בגובה 150 ס""מ"
"יסוד רפסודה מבטון בגובה 210 ס""מ"
"יסוד רפסודה מבטון בגובה 60 ס""מ"
"יסודות בודדים מבטון יצוקים בטפסות בעובי 100 ס""מ"
"יסודות בודדים מבטון יצוקים בטפסות בעובי 150 ס""מ"
"יסודות בודדים מבטון יצוקים בטפסות בעובי 170 ס""מ"
"יסודות עוברים מבטון במידות רוחב שונות בעובי 100 ס""מ"
עיבויים במרצפים (ווטות) בעוביים שונים
"רצפות מונחות מבטון בעובי 20 ס""מ"
"רצפות מונחות מבטון בעובי 25 ס""מ"
"רצפות מונחות מבטון בעובי 40 ס""מ"
"קירות מבטון בעובי 15 ס""מ"
"קירות מבטון בעובי 20 ס""מ"
"קירות מבטון בעובי 25 ס""מ"
"קירות מבטון בעובי 30 ס""מ"
"קירות מבטון בעובי 35 ס""מ"
"קירות מבטון בעובי 40 ס""מ"
"קירות מבטון בעובי 45 ס""מ"
"קירות מבטון בעובי 50 ס""מ"
"קירות מבטון בעובי 60 ס""מ"
"קירות כנגד קיר דיפון (כלונסאות/סלארי) בעובי 15 ס""מ"
"קירות כנגד קיר דיפון (כלונסאות/סלארי) בעובי 40 ס""מ"
עמודים בדלים מבטון בחתכים שונים
עמודים בדלים מבטון עם קצוות מעוגלים
עמודי קומפוזיט בחתכים שונים
קורות יורדות מבטון בחתכים שונים יצוקות על קירות בנויים
קורות טרנספורמציה בחתכים שונים
בליטות אופקיות או אנכיות מקירות מבטון או עמודים מבטון במידות שונות
"תקרות מבטון בעובי 20 ס""מ"
"תקרות מבטון בעובי 25 ס""מ"
"תקרות מבטון בעובי 30 ס""מ"
"תקרות מבטון בעובי 35 ס""מ"
"תקרות מבטון בעובי 40 ס""מ"
"תקרות מבטון בעובי 45 ס""מ"
"תקרות משופעות מבטון בעובי 30 ס""מ"
"תקרות משופעות מבטון בעובי 40 ס""מ"
"כותרות חדירה לעמודים בעובי 40 ס""מ"
"כותרות חדירה לעמודים בעובי 60 ס""מ"
"כותרות חדירה לעמודים בעובי 70 ס""מ"
"תקרות דרוכות Bonded בעובי 60 ס""מ"
"תקרות דרוכות Bonded בעובי 40 ס""מ"
"משטחי מדרגות אופקיים מבטון בעובי 20 ס""מ"
משטחי מדרגות משופעים מבטון
"מהלכי מדרגות 17/28 ס""מ"
"מהלכי מדרגות 16/28 ס""מ"
"מהלכי מדרגות 17/11 ס""מ"
תוספת עבור תקרות בטון ב-40
תוספת עבור תקרות בטון ב-50
תוספת עבור קירות בטון ב-60
תוספת עבור עמודים בטון ב-60
"טופינג בעובי 5 ס""מ"
"תקרה מלוחות טרומיים עשויים מבטון תאי משוריין מסוגים שונים בעובי 20 ס""מ"
"תקרה מלוחות טרומיים עשויים מבטון תאי משוריין מסוגים שונים בעובי 25 ס""מ"
"תקרה מלוחות טרומיים עשויים מבטון תאי משוריין מסוגים שונים בעובי 30 ס""מ"
"תקרה מלוחות טרומיים עשויים מבטון תאי משוריין מסוגים שונים בעובי 35 ס""מ"
