description
"מצע בטון רזה בעובי 5 ס""מ מתחת ליסודות ורפסודה לרבות בחלקים משופעים וכל הנדרש לקבלת שטח מוכן להמשך העבודות"
"יסוד מסוג רפסודה בטון ב-40 בעובי 100 עד 295 ס""מ"
"יסוד מסוג רפסודה בטון ב-40 בעובי קטן מ 100 ס""מ"
"פלטות יסוד בטון ב-40 בעובי עד 100 ס""מ"
"פלטות יסוד בטון ב-40 בעובי 150 ס""מ"
"פלטות יסוד בטון ב-40 בעובי 170 ס""מ"
קורות יסוד מתחת למרצפי בטון בחתך טרפזי
עיבויים במרצפים (ווטות) בעוביים שונים
"מרצפי בטון ישרים ומשופעים ב-40 יצוקים על מצע או על הקרקע בעובי 20 ס""מ (המצע נמדד בנפרד)"
"מרצפי בטון ישרים ומשופעים ב-40 יצוקים על מצע או על הקרקע בעובי 25 ס""מ (המצע נמדד בנפרד)"
"מרצפי בטון ישרים ומשופעים ב-40 יצוקים על מצע או על הקרקע בעובי 40 ס""מ (המצע נמדד בנפרד)"
"קירות בטון ב-40 בעובי 15 ס""מ"
"קירות בטון ב-40 בעובי 20 ס""מ"
"קירות בטון ב-40 בעובי 25 ס""מ"
"קירות בטון ב-40 בעובי 30 ס""מ"
"קירות בטון ב-40 בעובי 35 ס""מ"
"קירות בטון ב-40 בעובי 40 ס""מ"
"קירות בטון ב-40בעובי 45 ס""מ"
"קירות בטון ב-40 בעובי 50 ס""מ"
"קירות בטון ב-40 בעובי 60 ס""מ"
"קיר ציפוי קונסטרוקטיבי בעובי מינימלי כ-15 ס""מ המשמש לאיטום קירות דיפון מבטון ב-40 יצוק בתבנית צד אחד מתחבר עם קוצים לקיר הדיפון בהתאם לפרט בתוכניות קו נסטרוקציה"
"קיר ציפוי קונסטרוקטיבי בעובי מינימלי כ-40 ס""מ המשמש לאיטום קירות דיפון מבטון ב-40 יצוק בתבנית צד אחד מתחבר עם קוצים לקיר הדיפון בהתאם לפרט בתוכניות קו נסטרוקציה"
עמודים בדלים בטון ב-40 בכל חתך
"עמודים בדלים בטון ב-40 בכל חתך, עם טפסות מיוחדת לפינות מעוגלות בהתאם לתכנון"
"עמודי קומפוזיט בטון ב-40 בכל חתך, עם טפסות מיוחדת לפינות מעוגלות בהתאם לתכנון (פרופילי הפלדה נמדדים בנפרד)"
"קורות תחתונות בטון ב-40 בכל חתך ובכל רוחב, גובה הקורה נמדד עד תחתית הרצפה"
"קורות טרנספורמציה בטון ב-40 בכל חתך ובכל רוחב בין קומת המרתף ורצפת קומת הקרקע, גובה הקורה נמדד עד תחתית הרצפה"
"""שן"" בטון ב-40 להשענת לוח""דים, בכל שטח חתך"
"תקרות בטון ב-30 עובי 20 ס""מ"
"תקרות בטון ב-30 עובי 25 ס""מ"
"תקרות בטון ב-30 עובי 30 ס""מ"
"תקרות בטון ב-30 עובי 35 ס""מ"
"תקרות בטון ב-30 עובי 40 ס""מ"
"תקרות בטון ב-30 עובי 45 ס""מ"
"רמפת בטון ב-40 לחניון בעובי 30 ס""מ"
"רמפת בטון ב-40 לחניון בעובי 40 ס""מ"
כותרות בטון ב-30 בכל מידה
"תקרת בטון דרוכה ב-40 בעובי 60 ס""מ Unbonded, בהתאם לעומסים המפורטים בתוכניות. המחיר כולל גדילי דריכה בכל הקטרים והאורכים לפי הנחיית הקונסטרוקטור. ברזל רך נמדד בנפרד"
"תקרת בטון דרוכה ב-40 בעובי 40 ס""מ Unbonded, בהתאם לעומסים המפורטים בתוכניות. המחיר כולל גדילי דריכה בכל הקטרים והאורכים לפי הנחיית הקונסטרוקטור. ברזל רך נמדד בנפרד"
"משטחי ביניים בטון ב-30 בעובי עד 20 ס""מ בחדרי מדרגות"
"משטחים משופעים למדרגות בטון ב-30 בעובי עד 20 ס""מ"
"משולשי בטון למדרגות ב-30 בחתך המדרגה עד 17/28 ס""מ"
"משולשי בטון למדרגות ב-30 בחתך המדרגה עד 11/17 ס""מ"
תוספת עבור רצפות בטון ב-40 במקום ב-30
תוספת עבור בטון ב-50 במקום ב-40 (נלקחו רצפות בלבד)
תוספת עבור קירות ועמודים בטון ב-60 במקום בטון ב-40
"בטון טופינג ב-40 בעובי 5 ס""מ על גבי פלטות טרומיות וקורות, לרבות השלמות יציקה בין הפלטות"
"פלטות חלולות ודרוכות (לוח""דים), בטון ב-50 בעובי 20 ס""מ בהתאם לעומסים המפורטים בתוכניות, ברוחב עד 120 ס""מ, מורכבות באתר, המחיר כולל את חוטי הדריכה"
"פלטות חלולות ודרוכות (לוח""דים), בטון ב-50 בעובי 25 ס""מ בהתאם לעומסים המפורטים בתוכניות, ברוחב עד 120 ס""מ, מורכבות באתר, המחיר כולל את חוטי הדריכה"
"פלטות חלולות ודרוכות (לוח""דים), בטון ב-50 בעובי 30 ס""מ בהתאם לעומסים המפורטים בתוכניות, ברוחב עד 120 ס""מ, מורכבות באתר, המחיר כולל את חוטי הדריכה"
"פלטות חלולות ודרוכות (לוח""דים), בטון ב-50 בעובי 35 ס""מ בהתאם לעומסים המפורטים בתוכניות, ברוחב עד 120 ס""מ, מורכבות באתר, המחיר כולל את חוטי הדריכה"
"קירות בלוקי בטון חלולים בעובי 10 ס""מ, כולל חגורות בטון אופקיות ואנכיות בתוספת ברזל"
"קירות בלוקי בטון חלולים 4 חורים בעובי 20 ס""מ, כולל חגורות בטון אופקיות ואנכיות בתוספת ברזל"
"קירות בטון ב-40 בעובי 45 ס""מ"
"עמודים עגולים בטון ב-40 בכל קוטר, לרבות עמודים משופעים"
"מעקות וקורות בטון ב-40 עולות בכל חתך, לרבות מתחת למעקות"
"""שן"" בטון ב-40 להשענת לוח""דים,  בכל שטח חתך"
"תקרות בטון ב-30 עובי 50 ס""מ"
"תקרת בטון דרוכה ב-40 בעובי 30 ס""מ Unbonded, בהתאם לעומסים המפורטים בתוכניות.
  המחיר כולל גדילי דריכה בכל הקטרים והאורכים לפי הנחיית הקונסטרוקטור. ברזל רך נמדד בנפרד"
"תקרת בטון דרוכה ב-40 בעובי 40 ס""מ Unbonded, בהתאם לעומסים המפורטים בתוכניות.
  המחיר כולל גדילי דריכה בכל הקטרים והאורכים לפי הנחיית הקונסטרוקטור. ברזל רך נמדד בנפרד"
"תקרת בטון דרוכה ב-40 בעובי 45 ס""מ Unbonded, בהתאם לעומסים המפורטים בתוכניות.
  המחיר כולל גדילי דריכה בכל הקטרים והאורכים לפי הנחיית הקונסטרוקטור. ברזל רך נמדד בנפרד"
"תקרת בטון דרוכה ב-40 בעובי 40 ס""מ Bonded, בהתאם לעומסים המפורטים בתוכניות.
  המחיר כולל גדילי דריכה בכל הקטרים והאורכים לפי הנחיית הקונסטרוקטור. ברזל רך נמדד בנפרד"
"תקרת בטון דרוכה ב-40 בעובי 45 ס""מ Bonded, בהתאם לעומסים המפורטים בתוכניות.
  המחיר כולל גדילי דריכה בכל הקטרים והאורכים לפי הנחיית הקונסטרוקטור. ברזל רך נמדד בנפרד"
"תקרת בטון דרוכה ב-40 בעובי 50 ס""מ Bonded, בהתאם לעומסים המפורטים בתוכניות.
  המחיר כולל גדילי דריכה בכל הקטרים והאורכים לפי הנחיית הקונסטרוקטור. ברזל רך נמדד בנפרד"
תוספת עבור רצפות בטון ב-50 במקום ב-30
"בטון טופינג ב-30 בעובי 5 ס""מ על גבי פלטות טרומיות וקורות לרבות השלמות יציקה בין הפלטות"
"בטון טופינג ב-30 בעובי 7 ס""מ על גבי פלטות טרומיות וקורות לרבות השלמות יציקה בין הפלטות"
"מחיצות בלוק בעובי 15 ס""מ"
"יסוד רפסודה מבטון בגובה P1 ס""מ"
"יסוד רפסודה מבטון בגובה 100 ס""מ"
עמודי יסוד מבטון במידות שונות
"קירות מעוגלים מבטון בחתכים שונים בעובי 30 ס""מ"
"קירות מעוגלים מבטון בחתכים שונים בעובי 20 ס""מ"
"תקרות מבטון בעובי 65 ס""מ"
"תקרות מבטון בעובי 28 ס""מ"
"תקרות מבטון בעובי 55 ס""מ"
